Country,CityName," AirportName 	 	 	 "
Canada,Calgary,Calgary International Airport
Canada,Montreal,Pierre Elliott Trudeau International Airport
Canada,Ottawa,Ottawa Macdonald-Cartier International Airport
Canada,Quebec City,Quebec City Airport
Canada,Quebec City,Jean Lesage International Airport
Canada,Toronto,Lester B. Pearson International Airport
Canada,Vancouver,Vancouver International Airport
US,Atlanta,Hartsfield-Jackson Atlanta International
US,Anchorage,Ted Stevens Anchorage International Airport
US,Austin,Austin-Bergstrom International
US,Baltimore,Baltimore/Washington International - BWI Airport
US,Boston,Logan International Airport
US,Charlotte,Charlotte Douglas International
US,Chicago,Chicago Midway Airport
US,Chicago,Chicago O'Hare International
US,Cincinnati,Cincinnati/Northern Kentucky International
US,Cleveland,Cleveland Hopkins International
US,Columbus,Port Columbus International
US,Dallas,Dallas/Ft. Worth International
US,Denver,Denver International Airport
US,Detroit,Detroit Metropolitan Wayne County Airport
US,Fort Lauderdale,"Fort Lauderdale/Hollywood International	"
US,Fort Myers,Southwest Florida International
US,Hartford,Bradley International
US,Honolulu,Hawaii Honolulu International
US,Houston,George Bush Intercontinental
US,Houston,William P. Hobby Airport
US,Indianapolis,Indianapolis International
US,Kansas City,Kansas City International
US,Las Vegas,McCarran International
US,Los Angeles,Los Angeles International 
US,Memphis,Memphis International
US,Miami,Miami International Airport
US,Minneapolis,Minneapolis/St. Paul International
US,Nashville,Nashville International
US,New Orleans,Louis Armstrong International
US,New York,John F. Kennedy International
US,New York,LaGuardia International
US,Newark,Newark Liberty International
US,Oakland,Metropolitan Oakland International
US,Ontario,Ontario International
US,Orlando,Orlando International
US,Philadelphia,Philadelphia International
US,Phoenix,Sky Harbor International
US,Pittsburgh,Pittsburgh International
US,Portland,Portland International
US,Raleigh-Durham,Raleigh-Durham International
US,Sacramento,Sacramento International
US,Salt Lake City,Salt Lake City International
US,San Antonio,San Antonio International
US,San Diego,Lindbergh Field International
US,San Francisco,San Francisco International
US,San Jose,Mineta San Jose International
US,Santa Ana,John Wayne Airport
US,Seattle,Seattle-Tacoma International
US,St. Louis,Lambert-St. Louis International
US,Tampa,Tampa International
US,Washington D.C.,Dulles International Airport
US,Washington D.C.,Ronald Reagan Washington National
Mexico, Mexico City, Mexico City International Airport
Mexico,Cancun,Cancun International Airport
Mexico,Jalisco,Miguel Hidalgo y Costilla International Airport
